geo,age,time_LAB,sex_LAB,INDICATORS_LAB,INDICATORS_VALUE
BE,Y0_4,"null","Total","VALUE",590156
BE,Y100_MAX,"null","Total","VALUE",1338
BE,Y10_14,"null","Total","VALUE",615713
BE,Y15_19,"null","Total","VALUE",643400
BE,Y20_24,"null","Total","VALUE",637132
BE,Y25_29,"null","Total","VALUE",678363
BE,Y30_34,"null","Total","VALUE",691381
BE,Y35_39,"null","Total","VALUE",762997
BE,Y40_44,"null","Total","VALUE",816756
BE,Y45_49,"null","Total","VALUE",793170
BE,Y50_54,"null","Total","VALUE",727852
BE,Y55_59,"null","Total","VALUE",672805
BE,Y5_9,"null","Total","VALUE",591860
BE,Y60_64,"null","Total","VALUE",552887
BE,Y65_69,"null","Total","VALUE",471769
BE,Y70_74,"null","Total","VALUE",455134
BE,Y75_79,"null","Total","VALUE",399520
BE,Y80_84,"null","Total","VALUE",288964
BE,Y85_89,"null","Total","VALUE",133068
BE,Y90_94,"null","Total","VALUE",48595
BE,Y95_99,"null","Total","VALUE",11674
IT,Y0_4,"null","Total","VALUE",2775811
IT,Y100_MAX,"null","Total","VALUE",11497
IT,Y10_14,"null","Total","VALUE",2798961
IT,Y15_19,"null","Total","VALUE",2941233
IT,Y20_24,"null","Total","VALUE",3109753
IT,Y25_29,"null","Total","VALUE",3676293
IT,Y30_34,"null","Total","VALUE",4533258
IT,Y35_39,"null","Total","VALUE",4800563
IT,Y40_44,"null","Total","VALUE",4824533
IT,Y45_49,"null","Total","VALUE",4213028
IT,Y50_54,"null","Total","VALUE",3798683
IT,Y55_59,"null","Total","VALUE",3827042
IT,Y5_9,"null","Total","VALUE",2747128
IT,Y60_64,"null","Total","VALUE",3292249
IT,Y65_69,"null","Total","VALUE",3330888
IT,Y70_74,"null","Total","VALUE",2860272
IT,Y75_79,"null","Total","VALUE",2461918
IT,Y80_84,"null","Total","VALUE",1795994
IT,Y85_89,"null","Total","VALUE",842446
IT,Y90_94,"null","Total","VALUE",390675
IT,Y95_99,"null","Total","VALUE",99062
NL,Y0_4,"null","Total","VALUE",966881
NL,Y100_MAX,"null","Total","VALUE",1395
NL,Y10_14,"null","Total","VALUE",985737
NL,Y15_19,"null","Total","VALUE",998488
NL,Y20_24,"null","Total","VALUE",966035
NL,Y25_29,"null","Total","VALUE",989477
NL,Y30_34,"null","Total","VALUE",1068148
NL,Y35_39,"null","Total","VALUE",1295476
NL,Y40_44,"null","Total","VALUE",1309824
NL,Y45_49,"null","Total","VALUE",1235769
NL,Y50_54,"null","Total","VALUE",1132228
NL,Y55_59,"null","Total","VALUE",1111042
NL,Y5_9,"null","Total","VALUE",1005997
NL,Y60_64,"null","Total","VALUE",924538
NL,Y65_69,"null","Total","VALUE",707492
NL,Y70_74,"null","Total","VALUE",584965
NL,Y75_79,"null","Total","VALUE",475053
NL,Y80_84,"null","Total","VALUE",339154
NL,Y85_89,"null","Total","VALUE",180861
NL,Y90_94,"null","Total","VALUE",65609
NL,Y95_99,"null","Total","VALUE",13823
PT,Y0_4,"null","Total","VALUE",547569
PT,Y10_14,"null","Total","VALUE",544153
PT,Y15_19,"null","Total","VALUE",586291
PT,Y20_24,"null","Total","VALUE",679240
PT,Y25_29,"null","Total","VALUE",792696
PT,Y30_34,"null","Total","VALUE",847532
PT,Y35_39,"null","Total","VALUE",789677
PT,Y40_44,"null","Total","VALUE",786600
PT,Y45_49,"null","Total","VALUE",748115
PT,Y50_54,"null","Total","VALUE",685086
PT,Y55_59,"null","Total","VALUE",647772
PT,Y5_9,"null","Total","VALUE",545915
PT,Y60_64,"null","Total","VALUE",569832
PT,Y65_69,"null","Total","VALUE",516443
PT,Y70_74,"null","Total","VALUE",491749
PT,Y75_79,"null","Total","VALUE",387547
PT,Y80_84,"null","Total","VALUE",261148

