week,inc
198444,125
198445,246
198446,159
198447,131
198448,143
198449,184
198450,225
198451,185
198452,154
198501,155
198502,177
198503,388
198504,770
198505,1155
198506,1026
198507,855
198508,707
198509,670
198510,640
198511,501
198512,445
198513,357
198514,244
198515,116
198516,91
198517,62
198518,74
198519,78
198520,51
198521,47
198522,44
198523,35
198524,36
198525,35
198526,34
198527,36
198528,26
198529,24
198530,21
198531,31
198532,14
198533,41
198534,73
198535,55
198536,51
198537,40
198538,50
198539,72
198540,90
198541,83
198542,138
198543,158
198544,122
198545,104
198546,128
198547,120
198548,124
198549,120
198550,156
198551,208
198552,157
198601,203
198602,322
198603,490
198604,629
198605,658
198606,793
198607,886
198608,810
198609,580
198610,464
198611,303
198612,225
198613,157
198614,90
198615,77
198616,74
198617,63
198618,57
198619,40
198620,31
198621,26
198622,18
198623,26
198624,20
198625,20
198626,16
198627,14
198628,4
198629,7
198630,4
198631,4
198632,2
198633,6
198634,10
198635,19
198636,17
198637,29
198638,48
198639,52
198640,60
198641,59
198642,57
198643,50
198644,52
198645,70
198646,58
198647,66
198648,83
198649,102
198650,133
198651,132
198652,138
198701,125
198702,133
198703,187
198704,285
198705,424
198706,533
198707,518
198708,391
198709,264
198710,167
198711,96
198712,107
198713,112
198714,91
198715,80
198716,58
198717,38
198718,29
198719,23
198720,19
198721,32
198722,27
198723,29
198724,20
198725,42
198726,22
198727,18
198728,5
198729,8
198730,8
198731,15
198732,13
198733,12
198734,12
198735,11
198736,14
198737,20
198738,30
198739,58
198740,44
198741,76
198742,68
198743,83
198744,74
198745,64
198746,67
198747,53
198748,75
198749,89
198750,104
198751,86
198752,21
198753,85
198801,109
198802,107
198803,123
198804,130
198805,130
198806,124
198807,138
198808,157
198809,243
198810,421
198811,566
198812,507
198813,347
198814,222
198815,126
198816,60
198817,39
198818,37
198819,33
198820,25
198821,20
198822,21
198823,16
198824,12
198825,14
198826,13
198827,8
198828,15
198829,11
198830,8
198831,16
198832,13
198833,14
198834,9
198835,14
198836,13
198837,28
198838,63
198839,78
198840,71
198841,83
198842,81
198843,68
198844,75
198845,97
198846,165
198847,440
198848,1141
198849,1729
198850,1793
198851,1562
198852,837
198901,360
198902,200
198903,118
198904,98
198905,94
198906,85
198907,49
198908,35
198909,23
198910,22
198911,30
198912,24
198913,19
198914,27
198915,17
198916,19
198917,19
198918,24
198919,-
198920,11
198921,17
198922,16
198923,21
198924,11
198925,11
198926,10
198927,6
198928,2
198929,7
198930,6
198931,5
198932,13
198933,14
198934,11
198935,8
198936,8
198937,21
198938,33
198939,44
198940,56
198941,78
198942,70
198943,53
198944,42
198945,40
198946,42
198947,73
198948,212
198949,638
198950,1334
198951,1463
198952,1035
199001,855
199002,610
199003,558
199004,509
199005,286
199006,707
199007,109
199008,46
199009,39
199010,29
199011,35
199012,30
199013,39
199014,23
199015,21
199016,14
199017,9
199018,3
199019,10
199020,8
199021,2
199022,7
199023,6
199024,10
199025,14
199026,13
199027,5
199028,2
199029,2
199030,1
199031,2
199032,2
199033,0
199034,0
199035,2
199036,4
199037,7
199038,20
199039,28
199040,36
199041,35
199042,23
199043,31
199044,29
199045,31
199046,36
199047,41
199048,52
199049,68
199050,78
199051,83
199052,73
199101,76
199102,52
199103,52
199104,85
199105,129
199106,237
199107,367
199108,381
199109,245
199110,156
199111,81
199112,49
199113,57
199114,49
199115,26
199116,28
199117,27
199118,19
199119,14
199120,15
199121,11
199122,11
199123,12
199124,14
199125,14
199126,11
199127,6
199128,6
199129,7
199130,4
199131,4
199132,1
199133,3
199134,4
199135,4
199136,4
199137,4
199138,13
199139,25
199140,47
199141,50
199142,48
199143,51
199144,38
199145,34
199146,42
199147,63
199148,79
199149,165
199150,350
199151,666
199152,615
199201,434
199202,325
199203,241
199204,259
199205,290
199206,197
199207,100
199208,66
199209,47
199210,34
199211,20
199212,21
199213,20
199214,20
199215,15
199216,10
199217,6
199218,7
199219,5
199220,8
199221,9
199222,9
199223,7
199224,10
199225,9
199226,10
199227,10
199228,7
199229,6
199230,5
199231,7
199232,9
199233,7
199234,5
199235,11
199236,9
199237,13
199238,17
199239,24
199240,31
199241,42
199242,52
199243,44
199244,48
199245,39
199246,40
199247,46
199248,57
199249,69
199250,70
199251,72
199252,87
199253,99
199301,131
199302,157
199303,258
199304,337
199305,446
199306,500
199307,433
199308,389
199309,321
199310,223
199311,140
199312,111
199313,110
199314,67
199315,39
199316,43
199317,14
199318,9
199319,8
199320,9
199321,10
199322,6
199323,13
199324,12
199325,15
199326,5
199327,4
199328,3
199329,6
199330,7
199331,7
199332,7
199333,6
199334,5
199335,10
199336,8
199337,12
199338,18
199339,26
199340,24
199341,32
199342,33
199343,26
199344,31
199345,56
199346,133
199347,421
199348,920
199349,1565
199350,1094
199351,658
199352,406
199401,205
199402,82
199403,52
199404,41
199405,32
199406,30
199407,25
199408,17
199409,10
199410,8
199411,9
199412,7
199413,6
199414,8
199415,12
199416,9
199417,4
199418,6
199419,3
199420,4
199421,4
199422,1
199423,11
199424,11
199425,9
199426,2
199427,1
199428,3
199429,2
199430,4
199431,9
199432,8
199433,7
199434,6
199435,8
199436,5
199437,10
199438,27
199439,28
199440,28
199441,24
199442,25
199443,20
199444,20
199445,21
199446,25
199447,26
199448,32
199449,37
199450,50
199451,47
199452,38
199501,46
199502,41
199503,43
199504,48
199505,48
199506,65
199507,53
199508,66
199509,69
199510,86
199511,142
199512,212
199513,363
199514,431
199515,313
199516,243
199517,153
199518,68
199519,45
199520,33
199521,21
199522,24
199523,24
199524,14
199525,8
199526,9
199527,8
199528,6
199529,4
199530,3
199531,3
199532,1
199533,2
199534,3
199535,4
199536,6
199537,8
199538,23
199539,32
199540,28
199541,26
199542,26
199543,28
199544,23
199545,52
199546,108
