255_0_0,Groningen
255_0_17,Friesland
255_0_34,Drenthe
255_0_51,Overijssel
255_0_68,Flevoland
255_0_85,Gelderland
255_0_102,Utrecht
255_0_119,Noord-Holland
255_0_136,Zuid-Holland
255_0_153,Noord-Brabant
255_0_170,Limburg
255_0_187,Zeeland
0_0_187,West-Vlaanderen
17_0_187,Oost-Vlaanderen
34_0_187,Antwerpen
51_0_187,Belgisch-Limburg
68_0_187,Luik
85_0_187,Vlaams-Brabant
102_0_187,Brussel
119_0_187,Hennegouwen
136_0_187,Waals-Brabant
153_0_187,Namen
170_0_187,Luxemburg
187_0_187,Dierich
236_241_241,_Wit1
239_244_243,_Wit2
241_244_244,_Wit3
245_247_246,_Wit4
